序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
98,桃園市,觀音區,觀音,2016/10/26,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,桃園市,觀音區,觀音,2016/10/26,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,桃園市,觀音區,觀音,2016/10/26,小時風向值 WD_HR (degrees),193,236,218,210,232,224,206,212,242,245,279,271,258,255,258,260,265,255,279,202,119,85,90,92
101,桃園市,觀音區,觀音,2016/10/26,一氧化氮 NO (ppb),0,0.1,0.1,0.8,1.3,1,1.3,3.9,1.5,1.2,1.3,1.2,1.8,,3.1,1.9,1.2,0.8,0.9,0.8,1.2,1.6,1.2,1.7
102,桃園市,觀音區,觀音,2016/10/26,細懸浮微粒 PM 2.5  (μg/m 3 ),15,22,21,32,29,38,35,43,46,51,41,33,27,,24,18,20,25,27,33,29,41,44,50
103,桃園市,觀音區,觀音,2016/10/25,二氧化硫 SO2 (ppb),3.2,3.6,5.3,6,5.3,4.5,4.4,5,5,6,4.3,5.3,5.5,4.3,6.4,6.7,6.6,3.4,2.4,2.8,4.2,5.9,3.4,4.2
104,桃園市,觀音區,觀音,2016/10/25,二氧化氮 NO2 (ppb),17,19,28,20,23,22,20,18,17,16,16,17,16,13,9.9,7.5,9.1,8.2,4.7,5.1,9.4,18,7.5,6
105,桃園市,觀音區,觀音,2016/10/25,相對濕度 RH (percent),80,82,83,84,85,87,86,83,79,74,76,77,77,76,78,80,84,87,90,90,91,90,90,90
106,桃園市,觀音區,觀音,2016/10/25,一氧化碳 CO (ppm),0.36,0.36,0.36,0.3,0.3,0.32,0.44,0.5,0.42,0.44,0.39,0.38,0.37,0.37,0.3,0.22,0.26,0.31,0.18,0.15,0.2,0.28,0.2,0.21
107,桃園市,觀音區,觀音,2016/10/25,臭氧 O3 (ppb),14,11,7.1,7.9,3.6,1.8,3.7,11,24,37,60,70,75,102,113,82,73,47,43,42,34,35,53,56
108,桃園市,觀音區,觀音,2016/10/25,懸浮微粒 PM 10  (μg/m 3 ),31,34,38,41,42,40,38,47,53,59,62,66,73,70,72,63,63,58,51,41,32,42,47,47
109,桃園市,觀音區,觀音,2016/10/25,氮氧化物 NOx (ppb),18,19,29,20,24,25,27,27,22,20,18,18,18,14,10,7.7,9.4,8.6,5,5.4,9.5,18,7.6,6.1
110,桃園市,觀音區,觀音,2016/10/25,風速 WIND_SPEED (m/sec),1.3,1.3,1.8,0.8,0.4,1.1,0.5,0.5,1.2,2.3,2.1,3.2,2.3,2.4,2,2.1,1.9,1.5,1.7,2.1,0.9,0.8,0.6,0.6
111,桃園市,觀音區,觀音,2016/10/25,溫度 AMB_TEMP (℃),26,26,26,26,25,25,25,27,28,29,29,29,29,29,29,28,28,27,27,27,26,27,27,27
112,桃園市,觀音區,觀音,2016/10/25,風向 WIND_DIREC (degrees),81,101,102,153,72,131,172,221,220,316,275,303,298,307,340,324,19,47,63,43,80,38,4.5,324
113,桃園市,觀音區,觀音,2016/10/25,小時風速值 WS_HR (m/sec),1.5,1.4,1.3,1.4,0.3,0.6,0.4,0.4,0.9,1.1,1.8,2.1,1.9,1.7,1.5,1.2,0.8,0.7,1.2,1.5,1.1,0.8,0.5,0.4
114,桃園市,觀音區,觀音,2016/10/25,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,桃園市,觀音區,觀音,2016/10/25,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
